Type,Fluorophore
Maker,"Invitrogen(Life Technologies)"
ProductName,"TOTO 3"
Comment,"TOTO-3/DNA"
Public,1
Excitation
300,42.53931
301,37.06496
302,32.54399
303,29.09491
304,26.4122
305,24.28012
306,22.63973
307,21.41422
308,20.25042
309,19.46342
310,18.74428
311,18.03366
312,17.34623
313,16.80368
314,16.32944
315,15.81456
316,15.32925
317,14.84841
318,14.58246
319,14.44203
320,14.02736
321,13.76545
322,13.74864
323,13.6229
324,13.46759
325,13.34844
326,13.47418
327,13.32504
328,13.34227
329,13.52524
330,13.39737
331,13.43354
332,13.42737
333,13.41865
334,13.37397
335,13.42291
336,13.53992
337,13.57205
338,13.65503
339,13.7229
340,13.80588
341,13.7763
342,13.81651
343,13.76758
344,13.76545
345,13.68056
346,13.55716
347,13.34227
348,13.21014
349,13.01228
350,12.82313
351,12.58271
352,12.46782
353,12.28463
354,12.22102
355,12.02081
356,11.91464
357,11.75507
358,11.55273
359,11.30806
360,11.12083
361,10.89956
362,10.75488
363,10.56573
364,10.32297
365,10.11681
366,9.95298
367,9.706177
368,9.427246
369,9.227464
370,9.008106
371,8.753006
372,8.489182
373,8.295356
374,8.135997
375,7.920896
376,7.701964
377,7.476437
378,7.308355
379,7.065594
380,6.871982
381,6.729431
382,6.603902
383,6.395609
384,6.574115
385,6.327525
386,6.167954
387,6.074339
388,5.929448
389,5.829663
390,5.706262
391,5.614561
392,5.502011
393,5.389034
394,5.240314
395,5.159465
396,5.035851
397,4.910534
398,4.801813
399,4.69139
400,4.584796
401,4.52735
402,4.425438
403,4.308419
404,4.248633
405,4.248633
406,4.114594
407,4.097785
408,4.016936
409,3.942469
410,3.8763
411,3.827578
412,3.8146
413,3.776515
414,3.733963
415,3.708432
416,3.672262
417,3.608434
418,3.597583
419,3.574179
420,3.570137
421,3.465671
422,3.410566
423,3.423331
424,3.369928
425,3.438225
426,3.423331
427,3.45716
428,3.463543
429,3.425459
430,3.455246
431,3.416949
432,3.325248
433,3.327376
434,3.286951
435,3.301845
436,3.248867
437,3.240357
438,3.21674
439,3.238229
440,3.176316
441,3.174188
442,3.161635
443,3.172273
444,3.1127
445,3.127593
446,3.091424
447,3.133763
448,3.044616
449,3.038021
450,3.018872
451,3.050999
452,2.97632
453,3.065892
454,3.004191
455,3.048659
456,3.025468
457,3.070148
458,3.070148
459,3.059297
460,3.080786
461,3.093338
462,3.006319
463,3.008234
464,2.955256
465,2.985043
466,2.923342
467,2.959512
468,3.001851
469,2.97632
470,2.944618
471,2.967809
472,3.010574
473,3.010574
474,2.989298
475,3.01483
476,3.080786
477,3.070148
478,2.993341
479,3.036106
480,3.063552
481,3.114615
482,3.021212
483,3.123338
484,3.155039
485,3.201847
486,3.257165
487,3.29993
488,3.338227
489,3.419076
490,3.472054
491,3.508223
492,3.544393
493,3.567796
494,3.644603
495,3.689283
496,3.750771
497,3.819068
498,3.908428
499,3.99566
500,4.070127
501,4.146507
502,4.233739
503,4.320972
504,4.3848
505,4.478628
506,4.56352
507,4.648625
508,4.704155
509,4.84011
510,4.872237
511,4.950746
512,5.010532
513,5.142444
514,5.235846
515,5.301802
516,5.4018
517,5.503926
518,5.608179
519,5.703921
520,5.782643
521,5.869875
522,5.982639
523,6.057318
524,6.195613
525,6.293483
526,6.440289
527,6.520925
528,6.689219
529,6.833897
530,6.984746
531,7.12304
532,7.293249
533,7.493458
534,7.631752
535,7.836004
536,8.088977
537,8.235995
538,8.444288
539,8.654922
540,8.904066
541,9.112573
542,9.3081
543,9.595328
544,9.842132
545,10.12106
546,10.38701
547,10.72509
548,10.95721
549,11.30593
550,11.61465
551,11.94017
552,12.21676
553,12.54016
554,12.85079
555,13.18461
556,13.46354
557,13.81247
558,14.1614
559,14.52501
560,14.89117
561,15.24202
562,15.6252
563,16.00604
564,16.49518
565,16.87602
566,17.35069
567,17.84834
568,18.38663
569,18.88683
570,19.48235
571,20.0717
572,20.69084
573,21.35699
574,22.05485
575,22.79079
576,23.61205
577,24.43352
578,25.2801
579,26.17583
580,27.12474
581,28.11621
582,29.13342
583,30.14404
584,31.22487
585,32.26293
586,33.35461
587,34.40331
588,35.5118
589,36.56709
590,37.58431
591,38.62875
592,39.60341
593,40.62233
594,41.58401
595,42.50335
596,43.32461
597,44.20757
598,44.95436
599,45.76924
600,46.42029
601,47.07325
602,47.60941
603,48.13068
604,48.59897
605,49.06257
606,49.46703
607,49.89043
608,50.26468
609,50.67956
610,51.10104
611,51.56677
612,52.09889
613,52.72866
614,53.4712
615,54.28587
616,55.22414
617,56.28817
618,57.47325
619,58.70705
620,60.12191
621,61.69018
622,63.31546
623,65.07287
624,66.92603
625,68.93875
626,70.97275
627,73.17504
628,75.39606
629,77.66409
630,79.99809
631,82.28548
632,84.59799
633,86.84283
634,89.09364
635,91.25529
636,93.2427
637,95.04245
638,96.67029
639,98.0126
640,99.00853
641,99.71682
642,100
643,99.90405
644,99.44469
645,98.46812
646,96.99347
647,95.1618
648,92.92335
649,90.18532
650,87.19793
651,83.83205
652,80.16
653,76.29179
654,72.21336
655,68.14941
656,63.93906
657,59.79448
658,55.54563
659,51.55422
660,47.57133
661,43.79247
662,40.10957
663,36.69284
664,33.36312
665,30.24382
666,27.34389
667,24.7782
668,22.35484
669,20.15702
670,18.1994
671,16.40178
672,14.77203
673,13.32716
674,12.02081
675,10.87402
676,9.774261
677,8.882577
678,8.04217
679,7.320909
680,6.621136
681,6.063701
682,5.476266
683,5.023085
684,4.576285
685,4.176294
686,3.8763
687,3.514606
688,3.238229
689,2.97015
690,2.74675
691,2.518883
692,2.323355
693,2.148678
694,1.993575
695,1.821025
696,1.697836
697,1.551031
698,1.469969
699,1.335929
700,1.229548
Emission
585,13.53198
586,7.490916
587,3.9871
588,2.295603
589,1.460756
590,1.217296
591,1.217296
592,0.9738372
593,1.095567
594,0.9738372
595,1.103743
596,1.103743
597,1.103743
598,1.349019
599,1.226381
600,1.349019
601,1.349019
602,1.226381
603,1.226381
604,1.235465
605,1.235465
606,1.235465
607,1.359012
608,1.235465
609,1.359012
610,1.359012
611,1.493459
612,1.493459
613,1.617914
614,1.866824
615,1.88045
616,1.88045
617,2.146621
618,2.399164
619,2.525436
620,2.797965
621,3.052325
622,3.458394
623,3.970748
624,4.514898
625,4.90189
626,5.585938
627,6.409884
628,7.063953
629,8.035065
630,9.284157
631,10.41606
632,12.10029
633,13.71366
634,15.56595
635,17.98692
636,19.89008
637,22.2311
638,24.87918
639,27.55996
640,30.69586
641,34.57849
642,38.22311
643,42.46548
644,46.80233
645,51.19004
646,55.7758
647,60.18895
648,64.9028
649,68.76453
650,72.97147
651,77.22292
652,80.6141
653,84.6875
654,87.22293
655,90.77489
656,92.89608
657,96.04832
658,97.72892
659,98.81904
660,98.91897
661,100
662,99.69113
663,98.37391
664,97.69258
665,96.80232
666,94.64026
667,93.29578
668,91.73328
669,88.11774
670,85.14535
671,81.91134
672,80.1072
673,76.89408
674,74.17969
675,71.98038
676,69.06976
677,67.33285
678,64.55305
679,61.71148
680,59.01163
681,56.91497
682,54.71203
683,52.46185
684,50.16715
685,48.66642
686,47.11392
687,44.881
688,43.26672
689,42.6835
690,40.77762
691,40.19804
692,38.38208
693,37.2956
694,36.09375
695,35.09084
696,34.40407
697,32.86337
698,32.98965
699,32.36919
700,31.72692
701,31.31541
702,31.14281
703,29.82195
704,29.35865
705,29.50582
706,28.74637
707,28.7718
708,27.97692
709,28.07594
710,28.35392
711,27.87972
712,27.86519
713,27.93332
714,27.32558
715,27.37282
716,26.81686
717,26.76145
718,26.78052
719,26.48438
720,26.17369
721,25.53325
722,25.50872
723,24.83194
724,24.20058
725,24.46948
726,24.40407
727,24.3314
728,23.28852
729,23.1895
730,22.03398
731,21.61156
732,21.17097
733,21.43895
734,20.6032
735,19.74019
736,19.22693
737,19.07703
738,18.53198
739,18.35938
740,18.21948
741,16.82594
742,17.05487
743,16.42442
744,15.39426
745,15.14171
746,14.84829
747,14.05977
748,13.69186
749,13.32031
750,13.4048
751,12.619
752,12.72438
753,11.92042
754,12.01853
755,11.66788
756,11.33267
757,10.96657
758,11.53706
759,10.71857
760,10.35247
761,9.996367
762,10.09175
763,9.216933
764,9.792878
765,9.406796
766,9.493096
767,9.075218
768,8.663699
769,8.24128
770,8.328488
771,8.430232
772,8.517442
773,8.619185
774,8.720931
775,8.271257
776,8.353016
777,8.448401
778,7.961482
779,8.050508
780,7.558139
781,7.640806
782,7.723474
783,7.21657
784,7.900618
785,6.76508
786,7.467297
787,7.543604
788,6.994913
789,7.707122
790,7.134811
791,6.558867
792,7.284702
793,7.364644
794,7.444585
795,6.831395
796,7.60447
797,7.674418
798,7.058503
799,7.140262
